ZIP,CITY,STATEID,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,CLUSTER
40729,East Bernstadt,KY,Hotel,Post Office,Church,Brewery,Breakfast Spot,Discount Store,Gas Station,Cosmetics Shop,Distillery,Dive Bar,7
40734,Gray,KY,Auto Dealership,Fast Food Restaurant,Mountain,Building,Event Space,Farm,Gas Station,High School,Cosmetics Shop,Elementary School,3
40740,Lily,KY,Post Office,Automotive Shop,Motorsports Shop,Building,Discount Store,Office,Gas Station,Business Service,High School,Costume Shop,3
40741,London,KY,Lawyer,Office,Comic Shop,Building,Courthouse,Brewery,Electronics Store,Distribution Center,Dive Bar,Doctor\\'s Office,6
40744,London,KY,Lawyer,Office,Comic Shop,Building,Courthouse,Brewery,Electronics Store,Distribution Center,Dive Bar,Doctor\\'s Office,6
40759,Rockholds,KY,Fast Food Restaurant,Hotel,Park,Automotive Shop,Taco Place,Breakfast Spot,Discount Store,Motel,Event Space,Drugstore,0
40769,Williamsburg,KY,Gas Station,Plaza,Grocery Store,Sandwich Place,Chinese Restaurant,Library,College Arts Building,Courthouse,Flower Shop,Donut Shop,3
40823,Cumberland,KY,Fast Food Restaurant,Sandwich Place,Discount Store,Pizza Place,Mexican Restaurant,Financial or Legal Service,Grocery Store,Bank,Automotive Shop,Driving School,0
40828,Evarts,KY,Discount Store,Office,Campground,Bank,Elementary School,School,Event Service,Emergency Room,Event Space,Eye Doctor,0
40831,Harlan,KY,Church,Gas Station,Pizza Place,Event Space,Pharmacy,Building,Auto Dealership,Diner,Automotive Shop,Driving School,7
40906,Barbourville,KY,Sandwich Place,Courthouse,Miscellaneous Shop,Café,Coffee Shop,BBQ Joint,Police Station,Cosmetics Shop,Discount Store,Distribution Center,6
40935,Flat Lick,KY,Elementary School,Convenience Store,Discount Store,Pharmacy,Pizza Place,Church,Hardware Store,Hospital,Eye Doctor,Diner,7
40962,Manchester,KY,Automotive Shop,Fast Food Restaurant,Courthouse,Discount Store,Bank,Restaurant,City Hall,Emergency Room,Eye Doctor,Diner,0
40965,Middlesboro,KY,History Museum,Coffee Shop,Business Service,Medical Lab,Doctor\\'s Office,Discount Store,Church,Police Station,Convenience Store,Country Dance Club,7
40977,Pineville,KY,Courthouse,Pedestrian Plaza,Funeral Home,Sandwich Place,Building,Pharmacy,Grocery Store,Fried Chicken Joint,Medical Center,Donut Shop,6
41001,Alexandria,KY,Automotive Shop,Church,Office,Rental Car Location,School,Hardware Store,Rental Service,Design Studio,Dessert Shop,Diner,7
41004,Brooksville,KY,Building,Car Wash,Courthouse,Sandwich Place,Deli / Bodega,Laundry Service,Resort,Government Building,Diner,Drugstore,6
41005,Burlington,KY,Courthouse,General Travel,Café,Sorority House,Steakhouse,Restaurant,Government Building,General Entertainment,Automotive Shop,Yoga Studio,6
41006,Butler,KY,Elementary School,Building,Medical Center,Harbor / Marina,Discount Store,Community Center,Festival,Fabric Shop,Driving School,Distillery,0
41007,California,KY,Deli / Bodega,Arts & Entertainment,River,Auto Dealership,Design Studio,High School,Art Gallery,Historic Site,Factory,Donut Shop,0
41008,Carrollton,KY,Gas Station,Automotive Shop,Dentist\\'s Office,Bank,Post Office,Plaza,Eye Doctor,Doctor\\'s Office,Diner,Discount Store,3
41010,Corinth,KY,Gas Station,Building,Campground,Pet Service,Drugstore,Discount Store,Distillery,Distribution Center,Dive Bar,Doctor\\'s Office,3
41011,Covington,KY,Music Venue,Post Office,Dentist\\'s Office,Building,Hotel,Pub,Coffee Shop,Discount Store,Distillery,Distribution Center,0
41014,Covington,KY,Music Venue,Post Office,Dentist\\'s Office,Building,Hotel,Pub,Coffee Shop,Discount Store,Distillery,Distribution Center,0
41015,Latonia,KY,Bakery,General Travel,Mobile Phone Shop,Big Box Store,Fast Food Restaurant,Event Service,River,Museum,Bar,Yoga Studio,0
41016,Covington,KY,Music Venue,Post Office,Dentist\\'s Office,Building,Hotel,Pub,Coffee Shop,Discount Store,Distillery,Distribution Center,0
41017,Ft Mitchell,KY,Dentist\\'s Office,Medical Center,Office,Salon / Barbershop,Pub,Hotel,Pet Service,Restaurant,Dessert Shop,Diner,0
41018,Erlanger,KY,Church,Thrift / Vintage Store,Jewelry Store,Music Store,Bar,Bakery,Miscellaneous Shop,Pizza Place,Drugstore,Distillery,7
41030,Crittenden,KY,Farm,Building,Fast Food Restaurant,General Entertainment,Discount Store,Dentist\\'s Office,Thrift / Vintage Store,Event Service,Emergency Room,Elementary School,0
41031,Cynthiana,KY,Doctor\\'s Office,Church,Concert Hall,Restaurant,Funeral Home,Gas Station,Bar,Library,Country Dance Club,Courthouse,7
41035,Dry Ridge,KY,Bakery,Funeral Home,Church,Ice Cream Shop,Pharmacy,Park,Furniture / Home Store,Dive Bar,Dessert Shop,Diner,7
41039,Ewing,KY,Gas Station,Post Office,Fast Food Restaurant,Elementary School,Medical Center,Sandwich Place,Hospital,Construction & Landscaping,Driving School,Discount Store,3
41040,Falmouth,KY,Post Office,BBQ Joint,Office,Doctor\\'s Office,Building,Gas Station,Bar,Town Hall,Police Station,Arcade,3
41041,Flemingsburg,KY,Courthouse,Post Office,Cosmetics Shop,Fast Food Restaurant,Gas Station,Grocery Store,Speakeasy,Pizza Place,Convenience Store,Drugstore,6
41042,Florence,KY,Medical Center,High School,Pizza Place,Pub,Rental Car Location,Church,School,Newsstand,Factory,Grocery Store,7
41048,Hebron,KY,Fast Food Restaurant,Pharmacy,Discount Store,Bar,Trade School,Italian Restaurant,Supermarket,Event Service,Eye Doctor,Factory,0
41051,Independence,KY,Courthouse,Post Office,Bank,Office,Gas Station,Farmers Market,Harbor / Marina,Donut Shop,Dessert Shop,Diner,6
41056,Maysville,KY,Church,New American Restaurant,Gas Station,Gay Bar,Music Venue,Rental Car Location,Dessert Shop,Diner,Discount Store,Distillery,7
41059,Melbourne,KY,Gas Station,Ice Cream Shop,Dive Bar,Tech Startup,Church,Bar,Spiritual Center,Convention Center,Drugstore,Conference Room,7
41063,Morning View,KY,Church,Dentist\\'s Office,General Entertainment,Golf Course,Medical Center,Yoga Studio,Doctor\\'s Office,Diner,Discount Store,Distillery,7
41071,Newport,KY,Fast Food Restaurant,Gym,Monument / Landmark,Lawyer,Bistro,Discount Store,Building,Brewery,Gym / Fitness Center,South Indian Restaurant,0
41073,Bellevue,KY,City Hall,Vineyard,Church,Bar,Boat or Ferry,Pub,Gas Station,Grocery Store,Event Service,Fabric Shop,7
41074,Dayton,KY,Clothing Store,Café,Burrito Place,Art Studio,Chinese Restaurant,Coffee Shop,Laundry Service,Fried Chicken Joint,Dentist\\'s Office,Yoga Studio,0
41075,Fort Thomas,KY,Church,Funeral Home,Building,Tech Startup,School,Post Office,Pool,Construction & Landscaping,Driving School,Community College,7
41076,Newport,KY,Fast Food Restaurant,Gym,Monument / Landmark,Lawyer,Bistro,Discount Store,Building,Brewery,Gym / Fitness Center,South Indian Restaurant,0
41086,Sparta,KY,Gas Station,Business Service,Fast Food Restaurant,Bar,Racetrack,Truck Stop,Sandwich Place,Dive Bar,Doctor\\'s Office,Dessert Shop,3
41091,Union,KY,Dentist\\'s Office,Post Office,Restaurant,Church,Cocktail Bar,Gas Station,Convention Center,Dessert Shop,Discount Store,Distillery,7
41092,Verona,KY,Gas Station,Elementary School,Dentist\\'s Office,Bank,Light Rail Station,Diner,Winery,Pizza Place,Miscellaneous Shop,Fabric Shop,3
41093,Wallingford,KY,Church,Golf Course,Discount Store,Fast Food Restaurant,Festival,Tech Startup,Campground,Ski Lodge,Distillery,Distribution Center,7
41094,Walton,KY,Gas Station,Butcher,Fast Food Restaurant,Discount Store,Ice Cream Shop,Pharmacy,Coffee Shop,Supermarket,Automotive Shop,Driving School,3
41095,Warsaw,KY,Discount Store,Harbor / Marina,Fire Station,Pharmacy,Courthouse,Yoga Studio,Drugstore,Distillery,Distribution Center,Dive Bar,6
41097,Williamstown,KY,Post Office,Courthouse,Tattoo Parlor,Church,Gas Station,Bank,Coffee Shop,Coworking Space,Thrift / Vintage Store,Monument / Landmark,7
41101,Ashland,KY,Auto Dealership,Steakhouse,Nail Salon,Museum,City Hall,Police Station,Building,Event Service,Donut Shop,Discount Store,0
41102,Ashland,KY,Auto Dealership,Steakhouse,Nail Salon,Museum,City Hall,Police Station,Building,Event Service,Donut Shop,Discount Store,0
41129,Catlettsburg,KY,Grocery Store,Fast Food Restaurant,Pizza Place,Discount Store,Pharmacy,Elementary School,Gas Station,Emergency Room,Event Service,Event Space,3
41139,Flatwoods,KY,Home Service,Financial or Legal Service,Library,Pizza Place,Gas Station,Veterinarian,Pharmacy,Paper / Office Supplies Store,Dive Bar,Dessert Shop,3
41143,Grayson,KY,Post Office,Pharmacy,Building,Discount Store,Church,Optical Shop,Lawyer,Pizza Place,Convention Center,Diner,7
41144,Greenup,KY,Building,Church,Park,Doctor\\'s Office,Courthouse,Carpet Store,Chiropractor,Discount Store,Distillery,Distribution Center,6
41164,Olive Hill,KY,Post Office,Convenience Store,Fast Food Restaurant,Food,Car Wash,Discount Store,City Hall,Convention Center,Cosmetics Shop,Distribution Center,0
41169,Russell,KY,Doctor\\'s Office,Office,Church,High School,Professional & Other Places,Cemetery,BBQ Joint,Donut Shop,Diner,Discount Store,7
41171,Sandy Hook,KY,Discount Store,Fast Food Restaurant,Government Building,Police Station,Farm,Gas Station,Grocery Store,Courthouse,Driving School,Distillery,3
41175,South Shore,KY,Post Office,Train Station,Gas Station,Hardware Store,Fast Food Restaurant,Discount Store,Shop & Service,Grocery Store,Medical Center,Diner,3
41179,Vanceburg,KY,Fast Food Restaurant,Discount Store,City Hall,Miscellaneous Shop,Financial or Legal Service,Diner,Library,Costume Shop,Country Dance Club,Dive Bar,0
41224,Inez,KY,Gas Station,Courthouse,Bank,Doctor\\'s Office,Supermarket,Library,Government Building,Emergency Room,Diner,Discount Store,6
41230,Louisa,KY,Courthouse,Post Office,Theater,Church,Gas Station,Bank,Coffee Shop,Salon / Barbershop,Costume Shop,Country Dance Club,6
41240,Paintsville,KY,Police Station,Mexican Restaurant,Italian Restaurant,Courthouse,School,Movie Theater,Rental Car Location,South American Restaurant,Community College,High School,6
41256,Staffordsville,KY,Gas Station,Gym / Fitness Center,Bakery,Automotive Shop,Grocery Store,Pharmacy,Big Box Store,Fast Food Restaurant,Emergency Room,Fabric Shop,3
41301,Campton,KY,Gas Station,High School,Police Station,Miscellaneous Shop,Mexican Restaurant,Sandwich Place,Salon / Barbershop,Historic Site,Hardware Store,Construction & Landscaping,3
41311,Beattyville,KY,Gas Station,Business Service,Mexican Restaurant,BBQ Joint,Automotive Shop,Memorial Site,Courthouse,Discount Store,Convenience Store,Fabric Shop,3
41314,Booneville,KY,Gas Station,Courthouse,Discount Store,Office,Church,Business Center,Business Service,Eye Doctor,Donut Shop,Diner,3
41339,Jackson,KY,Library,Fast Food Restaurant,Salon / Barbershop,Donut Shop,Courthouse,Sculpture Garden,Community College,Event Service,Dessert Shop,Diner,0
41465,Salyersville,KY,Gas Station,Automotive Shop,Fast Food Restaurant,Discount Store,Tourist Information Center,Restaurant,Post Office,Hardware Store,Convenience Store,Driving School,3
41472,West Liberty,KY,Gas Station,Pharmacy,Office,Department Store,Bank,Church,Convenience Store,Playground,Event Space,Event Service,3
41501,Pikeville,KY,Lawyer,Brewery,Distillery,Coffee Shop,Restaurant,Medical School,University,Courthouse,College Bookstore,Multiplex,6
41514,Belfry,KY,Hardware Store,Big Box Store,Funeral Home,Sandwich Place,Convenience Store,Middle School,Pharmacy,Gas Station,Automotive Shop,Doctor\\'s Office,3
41522,Elkhorn City,KY,Sandwich Place,Pizza Place,Discount Store,Automotive Shop,Theater,Hardware Store,Event Space,Dessert Shop,Diner,Fabric Shop,0
41537,Jenkins,KY,Discount Store,Gas Station,Pharmacy,Grocery Store,Office,Fast Food Restaurant,Doctor\\'s Office,Dessert Shop,Diner,Eye Doctor,3
41562,Shelbiana,KY,Gas Station,Discount Store,Building,Coworking Space,Moving Target,Church,Fast Food Restaurant,Convenience Store,Eye Doctor,Driving School,3
41572,Virgie,KY,Discount Store,Gas Station,Wings Joint,Automotive Shop,Building,Medical Center,Library,Costume Shop,Elementary School,Dive Bar,3
41635,Harold,KY,Auto Dealership,Rental Car Location,Automotive Shop,Discount Store,Gas Station,Financial or Legal Service,Tanning Salon,Medical Center,Distillery,Distribution Center,3
41653,Prestonsburg,KY,Discount Store,Auto Dealership,Food,Hardware Store,Photography Lab,Pharmacy,Distillery,Distribution Center,Dive Bar,Doctor\\'s Office,0
41701,Hazard,KY,Gas Station,Courthouse,Bridge,Beer Garden,Gym,Fast Food Restaurant,Cosmetics Shop,Elementary School,Distribution Center,Dive Bar,3
41749,Hyden,KY,Gas Station,Automotive Shop,Sandwich Place,Shoe Store,Discount Store,Financial or Legal Service,College Classroom,Courthouse,Park,Yoga Studio,3
41858,Whitesburg,KY,Funeral Home,Professional & Other Places,Burger Joint,Pharmacy,Courthouse,Restaurant,Medical Center,Automotive Shop,Driving School,Discount Store,6
42501,Somerset,KY,Courthouse,Brewery,Gas Station,Market,Bank,Government Building,Post Office,Plaza,Emergency Room,Elementary School,6
42503,Somerset,KY,Courthouse,Brewery,Gas Station,Market,Bank,Government Building,Post Office,Plaza,Emergency Room,Elementary School,6
42519,Burnside,KY,Post Office,Grocery Store,Bridge,Medical Center,City Hall,Library,Motel,Electronics Store,Distribution Center,Dive Bar,0
42539,Liberty,KY,Automotive Shop,Post Office,Movie Theater,Electronics Store,Gym,Courthouse,Hardware Store,Miscellaneous Shop,Eye Doctor,Driving School,0
42553,Science Hill,KY,Post Office,Ice Cream Shop,Church,Baseball Field,Bank,Non-Profit,Building,Library,Professional & Other Places,Emergency Room,7
42567,Eubank,KY,Post Office,Bank,Park,Discount Store,Event Space,Building,Furniture / Home Store,Gas Station,Fast Food Restaurant,Gym,3
43001,Alexandria,OH,Post Office,Convenience Store,Fire Station,Food & Drink Shop,Doctor\\'s Office,Coffee Shop,Vegetarian / Vegan Restaurant,Spa,Pizza Place,Art Gallery,0
43002,Amlin,OH,Post Office,Park,Gas Station,BBQ Joint,Salon / Barbershop,Preschool,Department Store,Dessert Shop,Diner,Discount Store,3
43003,Ashley,OH,Post Office,Ice Cream Shop,Military Base,Campground,Tech Startup,Discount Store,Bar,Spiritual Center,Cosmetics Shop,Distribution Center,0
43004,Blacklick,OH,Salon / Barbershop,Veterinarian,Stables,Building,Light Rail Station,Nursery School,Garden Center,Miscellaneous Shop,College Lab,Electronics Store,0
43008,Buckeye Lake,OH,Beach,Harbor / Marina,Lake,Veterinarian,Storage Facility,Driving School,Diner,Discount Store,Distillery,Distribution Center,0
43011,Centerburg,OH,Pizza Place,Lawyer,Golf Course,Financial or Legal Service,Sandwich Place,Beer Bar,Bank,Bakery,Monument / Landmark,Courthouse,0
43014,Danville,OH,Post Office,Boutique,High School,Discount Store,Bar,Bank,Veterinarian,Pub,Tanning Salon,Distillery,0
43015,Delaware,OH,Salon / Barbershop,Doctor\\'s Office,Beer Store,Pizza Place,Cajun / Creole Restaurant,Restaurant,Ice Cream Shop,City Hall,Diner,Discount Store,0
43016,Dublin,OH,Ice Cream Shop,Professional & Other Places,Intersection,Building,College Library,Pub,Juice Bar,Coffee Shop,French Restaurant,Café,0
43017,Dublin,OH,Ice Cream Shop,Professional & Other Places,Intersection,Building,College Library,Pub,Juice Bar,Coffee Shop,French Restaurant,Café,0
43019,Fredericktown,OH,Factory,Pizza Place,Tech Startup,Professional & Other Places,Building,Other Great Outdoors,Financial or Legal Service,Bank,Driving School,Distillery,0
43021,Galena,OH,Miscellaneous Shop,College Classroom,Tourist Information Center,Lake,Bank,Coffee Shop,Diner,Office,Middle School,Emergency Room,0
43022,Gambier,OH,College Bookstore,Other Great Outdoors,Hotel,Coffee Shop,General College & University,College Administrative Building,College Arts Building,College Auditorium,Church,Yoga Studio,7
43023,Granville,OH,Church,Post Office,Ice Cream Shop,General Travel,BBQ Joint,Office,Pizza Place,Event Service,Dive Bar,Dessert Shop,7
43025,Hebron,OH,Gas Station,Automotive Shop,High School,Chinese Restaurant,Ice Cream Shop,Elementary School,Pharmacy,Diner,Discount Store,Distillery,3
43026,Hilliard,OH,Miscellaneous Shop,Park,Sports Bar,Financial or Legal Service,Diner,Sculpture Garden,Salon / Barbershop,Funeral Home,Pizza Place,Costume Shop,0
43028,Howard,OH,Pizza Place,Tech Startup,Post Office,Construction & Landscaping,Ice Cream Shop,Bridge,Bar,Sandwich Place,Trail,Yoga Studio,0
43031,Johnstown,OH,Gas Station,Gift Shop,Concert Hall,Hardware Store,Convenience Store,Gastropub,Coffee Shop,Park,Yoga Studio,Diner,3
43035,Lewis Center,OH,Coffee Shop,Supermarket,Scenic Lookout,Locksmith,Medical Center,School,Building,Emergency Room,Dive Bar,Diner,0
43040,Marysville,OH,Bar,Comic Shop,Ice Cream Shop,Mexican Restaurant,Dentist\\'s Office,Food,Bank,City Hall,Automotive Shop,Yoga Studio,0
43044,Mechanicsburg,OH,Post Office,Coffee Shop,Fire Station,Doctor\\'s Office,Other Great Outdoors,Dentist\\'s Office,Pizza Place,Convenience Store,Diner,Distillery,0
43046,Millersport,OH,Gas Station,Hardware Store,Bank,Building,Gymnastics Gym,Office,Convenience Store,Event Space,Diner,Discount Store,3
43050,Mount Vernon,OH,Bank,Post Office,Travel Agency,Burger Joint,Financial or Legal Service,Brewery,Farmers Market,Hotel,Convention Center,Distillery,0
43054,New Albany,OH,Yoga Studio,Bike Shop,Gas Station,Office,Police Station,Spa,Post Office,Art Gallery,Arts & Entertainment,Dessert Shop,3
43055,Newark,OH,Plaza,Candy Store,Business Center,Lawyer,Coffee Shop,Automotive Shop,Courthouse,Government Building,Financial or Legal Service,Event Service,6
43056,Heath,OH,Church,Automotive Shop,Gas Station,Hotel,Pizza Place,Driving School,Diner,Discount Store,Distillery,Distribution Center,7
43060,North Lewisburg,OH,Building,Office,Ice Cream Shop,Fire Station,Sandwich Place,Baseball Stadium,Factory,Pizza Place,Cosmetics Shop,Electronics Store,0
43061,Ostrander,OH,Convenience Store,Farm,Performing Arts Venue,Park,Elementary School,Discount Store,Distillery,Distribution Center,Dive Bar,Doctor\\'s Office,0
43062,Pataskala,OH,Yoga Studio,Government Building,Park,Coffee Shop,Dentist\\'s Office,Flower Shop,Funeral Home,Automotive Shop,Miscellaneous Shop,Arts & Crafts Store,0
43064,Plain City,OH,Antique Shop,Gym / Fitness Center,Restaurant,Bar,Auto Garage,Financial or Legal Service,Pub,Museum,Pizza Place,History Museum,0
43065,Powell,OH,Spa,Event Space,Tiki Bar,Social Club,Gastropub,Ice Cream Shop,Cocktail Bar,Coffee Shop,Doctor\\'s Office,Diner,0
43068,Reynoldsburg,OH,Bar,Supermarket,Automotive Shop,Fast Food Restaurant,Fire Station,Bank,Emergency Room,Donut Shop,Car Wash,Distribution Center,0
43072,Saint Paris,OH,Historic Site,Post Office,Gym / Fitness Center,Café,Funeral Home,Dentist\\'s Office,Bank,Salon / Barbershop,Convention Center,Cosmetics Shop,0
43074,Sunbury,OH,Antique Shop,Government Building,Restaurant,Office,Chinese Restaurant,Food,Beer Garden,Laundry Service,Plaza,Gun Shop,0
43076,Thornville,OH,Bank,Post Office,Tanning Salon,City Hall,Pizza Place,Strip Club,Discount Store,Distillery,Distribution Center,Dive Bar,0
43078,Urbana,OH,Boutique,Auto Workshop,Tech Startup,Bar,Candy Store,Gift Shop,Italian Restaurant,Distribution Center,Dive Bar,Doctor\\'s Office,0
43080,Utica,OH,Building,Post Office,Fire Station,Bar,Tattoo Parlor,Medical Center,Funeral Home,Event Service,Emergency Room,Elementary School,0
43081,Westerville,OH,Yoga Studio,BBQ Joint,Music School,Tea Room,Office,Other Nightlife,College Academic Building,Clothing Store,Winery,Historic Site,0
43082,Westerville,OH,Yoga Studio,BBQ Joint,Music School,Tea Room,Office,Other Nightlife,College Academic Building,Clothing Store,Winery,Historic Site,0
43085,Columbus,OH,Capitol Building,Government Building,History Museum,Gift Shop,Yoga Studio,Diner,Discount Store,Distillery,Distribution Center,Dive Bar,1
43102,Amanda,OH,Post Office,Fire Station,School,Gas Station,Gift Shop,Sandwich Place,Auto Dealership,Funeral Home,Playground,Driving School,3
43103,Ashville,OH,Fast Food Restaurant,Library,Pizza Place,Convenience Store,Sandwich Place,Museum,Coffee Shop,Yoga Studio,Donut Shop,Discount Store,0
43105,Baltimore,OH,Pizza Place,Bar,Historic Site,Chiropractor,Pub,Bank,Yoga Studio,Donut Shop,Discount Store,Distillery,0
43107,Bremen,OH,Diner,Coworking Space,Fire Station,Gas Station,Park,Restaurant,Liquor Store,Elementary School,Electronics Store,Drugstore,3
43110,Canal Winchester,OH,Bank,Historic Site,Café,Hardware Store,Pizza Place,Bakery,Yoga Studio,Driving School,Discount Store,Distillery,0
43112,Carroll,OH,Dive Bar,Golf Course,Convenience Store,Bar,Rest Area,Park,Church,High School,Pizza Place,Event Service,7
43113,Circleville,OH,Government Building,Courthouse,Post Office,Fair,Deli / Bodega,Pizza Place,Mexican Restaurant,Driving School,Discount Store,Distillery,6
43119,Galloway,OH,Building,Gas Station,High School,Dive Bar,Coworking Space,Drugstore,Diner,Discount Store,Distillery,Distribution Center,3
43123,Grove City,OH,Library,Arts & Crafts Store,Non-Profit,Coffee Shop,Bar,General Entertainment,Police Station,Sports Bar,Event Service,Emergency Room,0
43125,Groveport,OH,School,Sporting Goods Shop,Warehouse Store,Building,Gas Station,City Hall,Factory,High School,Drugstore,Discount Store,3
43130,Lancaster,OH,Lawyer,Courthouse,Church,Medical Center,Government Building,Office,Art Gallery,History Museum,Police Station,Diner,6
43135,Laurelville,OH,Diner,Post Office,Grocery Store,Elementary School,Sandwich Place,Automotive Shop,Gas Station,Convention Center,Dessert Shop,Discount Store,3
43138,Logan,OH,Bakery,Post Office,Food,Frozen Yogurt Shop,Pizza Place,Bookstore,Shopping Plaza,Government Building,Discount Store,Distillery,0
43140,London,OH,Courthouse,Bank,Bed & Breakfast,Fast Food Restaurant,Building,Tanning Salon,Government Building,Monument / Landmark,Country Dance Club,Emergency Room,6
43143,Mount Sterling,OH,Building,Factory,Pizza Place,Fire Station,Flea Market,Pedestrian Plaza,Food,Drugstore,Distillery,Distribution Center,0
43146,Orient,OH,Storage Facility,Post Office,Government Building,Diner,Discount Store,Distillery,Distribution Center,Dive Bar,Doctor\\'s Office,Donut Shop,0
43147,Pickerington,OH,History Museum,Fire Station,Dentist\\'s Office,Furniture / Home Store,Intersection,Brewery,City Hall,Art Gallery,Event Space,Donut Shop,0
43148,Pleasantville,OH,Building,Convenience Store,Financial or Legal Service,Fire Station,Italian Restaurant,Elementary School,Automotive Shop,Yoga Studio,Electronics Store,Distribution Center,0
43149,Rockbridge,OH,Gas Station,Fast Food Restaurant,Nursery School,Field,Golf Course,Donut Shop,Diner,Discount Store,Distillery,Distribution Center,3
43154,Stoutsville,OH,Gas Station,School,Pizza Place,Baseball Field,General College & University,University,Brewery,Automotive Shop,Donut Shop,Discount Store,3
43155,Sugar Grove,OH,Church,Post Office,Bar,Cemetery,Deli / Bodega,Coworking Space,Fast Food Restaurant,Event Service,Dive Bar,Discount Store,7
43160,Washington Court House,OH,Government Building,Courthouse,Gym / Fitness Center,Bank,Antique Shop,Office,Emergency Room,Diner,Discount Store,Distillery,6
43162,West Jefferson,OH,Bank,Sporting Goods Shop,Automotive Shop,Sports Bar,Diner,Sandwich Place,Gas Station,Cosmetics Shop,Electronics Store,Distillery,3
43201,Columbus,OH,Capitol Building,Government Building,History Museum,Gift Shop,Yoga Studio,Diner,Discount Store,Distillery,Distribution Center,Dive Bar,1
43202,Columbus,OH,Capitol Building,Government Building,History Museum,Gift Shop,Yoga Studio,Diner,Discount Store,Distillery,Distribution Center,Dive Bar,1
43203,Columbus,OH,Capitol Building,Government Building,History Museum,Gift Shop,Yoga Studio,Diner,Discount Store,Distillery,Distribution Center,Dive Bar,1
43204,Columbus,OH,Capitol Building,Government Building,History Museum,Gift Shop,Yoga Studio,Diner,Discount Store,Distillery,Distribution Center,Dive Bar,1
43205,Columbus,OH,Capitol Building,Government Building,History Museum,Gift Shop,Yoga Studio,Diner,Discount Store,Distillery,Distribution Center,Dive Bar,1
43206,Columbus,OH,Capitol Building,Government Building,History Museum,Gift Shop,Yoga Studio,Diner,Discount Store,Distillery,Distribution Center,Dive Bar,1
43207,Columbus,OH,Capitol Building,Government Building,History Museum,Gift Shop,Yoga Studio,Diner,Discount Store,Distillery,Distribution Center,Dive Bar,1
43209,Columbus,OH,Capitol Building,Government Building,History Museum,Gift Shop,Yoga Studio,Diner,Discount Store,Distillery,Distribution Center,Dive Bar,1
43211,Columbus,OH,Capitol Building,Government Building,History Museum,Gift Shop,Yoga Studio,Diner,Discount Store,Distillery,Distribution Center,Dive Bar,1
43212,Columbus,OH,Capitol Building,Government Building,History Museum,Gift Shop,Yoga Studio,Diner,Discount Store,Distillery,Distribution Center,Dive Bar,1
43213,Columbus,OH,Capitol Building,Government Building,History Museum,Gift Shop,Yoga Studio,Diner,Discount Store,Distillery,Distribution Center,Dive Bar,1
43214,Columbus,OH,Capitol Building,Government Building,History Museum,Gift Shop,Yoga Studio,Diner,Discount Store,Distillery,Distribution Center,Dive Bar,1
43215,Columbus,OH,Capitol Building,Government Building,History Museum,Gift Shop,Yoga Studio,Diner,Discount Store,Distillery,Distribution Center,Dive Bar,1
43217,Columbus,OH,Capitol Building,Government Building,History Museum,Gift Shop,Yoga Studio,Diner,Discount Store,Distillery,Distribution Center,Dive Bar,1
43219,Columbus,OH,Capitol Building,Government Building,History Museum,Gift Shop,Yoga Studio,Diner,Discount Store,Distillery,Distribution Center,Dive Bar,1
43220,Columbus,OH,Capitol Building,Government Building,History Museum,Gift Shop,Yoga Studio,Diner,Discount Store,Distillery,Distribution Center,Dive Bar,1
43221,Columbus,OH,Capitol Building,Government Building,History Museum,Gift Shop,Yoga Studio,Diner,Discount Store,Distillery,Distribution Center,Dive Bar,1
43222,Columbus,OH,Capitol Building,Government Building,History Museum,Gift Shop,Yoga Studio,Diner,Discount Store,Distillery,Distribution Center,Dive Bar,1
43223,Columbus,OH,Capitol Building,Government Building,History Museum,Gift Shop,Yoga Studio,Diner,Discount Store,Distillery,Distribution Center,Dive Bar,1
43224,Columbus,OH,Capitol Building,Government Building,History Museum,Gift Shop,Yoga Studio,Diner,Discount Store,Distillery,Distribution Center,Dive Bar,1
43227,Columbus,OH,Capitol Building,Government Building,History Museum,Gift Shop,Yoga Studio,Diner,Discount Store,Distillery,Distribution Center,Dive Bar,1
43228,Columbus,OH,Capitol Building,Government Building,History Museum,Gift Shop,Yoga Studio,Diner,Discount Store,Distillery,Distribution Center,Dive Bar,1
43229,Columbus,OH,Capitol Building,Government Building,History Museum,Gift Shop,Yoga Studio,Diner,Discount Store,Distillery,Distribution Center,Dive Bar,1
43230,Columbus,OH,Capitol Building,Government Building,History Museum,Gift Shop,Yoga Studio,Diner,Discount Store,Distillery,Distribution Center,Dive Bar,1
43231,Columbus,OH,Capitol Building,Government Building,History Museum,Gift Shop,Yoga Studio,Diner,Discount Store,Distillery,Distribution Center,Dive Bar,1
43232,Columbus,OH,Capitol Building,Government Building,History Museum,Gift Shop,Yoga Studio,Diner,Discount Store,Distillery,Distribution Center,Dive Bar,1
43235,Columbus,OH,Capitol Building,Government Building,History Museum,Gift Shop,Yoga Studio,Diner,Discount Store,Distillery,Distribution Center,Dive Bar,1
43240,Columbus,OH,Capitol Building,Government Building,History Museum,Gift Shop,Yoga Studio,Diner,Discount Store,Distillery,Distribution Center,Dive Bar,1
